"outcome","column","full","out_thr","out_bic","oal_fix","oal_wamd","oads_thr","oads_bic","trt_bic","bch"
"length of stay (days)","transhx",1,1,1,1,1,1,1,1,1
"length of stay (days)","amihx",1,0.6,1,0,1,0.6,1,0,1
"length of stay (days)","age",1,1,1,1,1,1,1,0,1
"length of stay (days)","sexMale",1,1,1,0,1,1,1,0.2,1
"length of stay (days)","edu",1,0.8,1,0.2,0.8,0.8,1,1,1
"length of stay (days)","surv2md1",1,1,1,1,1,1,1,0.6,1
"length of stay (days)","das2d3pc",1,0.6,1,0,1,0.6,1,0,1
"length of stay (days)","aps1",1,1,1,1,1,1,1,1,1
"length of stay (days)","scoma1",1,1,1,0.6,1,1,1,0.2,1
"length of stay (days)","meanbp1",1,0.6,1,0.4,1,0.6,1,1,1
"length of stay (days)","wblc1",1,1,1,0,1,1,1,0,1
"length of stay (days)","hrt1",1,1,1,1,1,1,1,1,1
"length of stay (days)","resp1",1,0.6,1,0.2,1,0.6,1,1,1
"length of stay (days)","temp1",1,1,1,0.8,1,1,1,0.6,1
"length of stay (days)","pafi1",1,1,1,1,1,1,1,1,1
"length of stay (days)","alb1",1,1,1,1,1,1,1,1,1
"length of stay (days)","hema1",1,1,1,1,1,1,1,1,1
"length of stay (days)","bili1",1,1,1,0.4,1,1,1,0.4,1
"length of stay (days)","crea1",1,1,1,1,1,1,1,0.8,1
"length of stay (days)","sod1",1,1,1,1,1,1,1,1,1
"length of stay (days)","pot1",1,1,1,0.6,1,1,1,1,1
"length of stay (days)","paco21",1,1,1,1,1,1,1,1,1
"length of stay (days)","ph1",1,1,1,1,1,1,1,1,1
"length of stay (days)","wtkilo1",1,0.8,1,0.6,1,0.8,1,1,1
"length of stay (days)","dnr1Yes",1,1,1,1,1,1,1,1,1
"length of stay (days)","ninsclasPrivate",1,0.8,1,0.4,0.8,0.8,1,1,1
"length of stay (days)","ninsclasMedicare",1,0.8,1,0.2,1,0.8,1,0.8,1
"length of stay (days)","ninsclasMedicaid",1,1,1,0.6,1,1,1,1,1
"length of stay (days)","ninsclasPrivate & Medicare",1,0.8,1,0.2,0.8,0.8,1,0,1
"length of stay (days)","ninsclasMedicare & Medicaid",1,0.8,1,0,1,0.8,1,0,1
"length of stay (days)","respYes",1,1,1,0.8,1,1,1,1,1
"length of stay (days)","cardYes",1,0.2,0.8,0,0.8,0.2,0.8,1,1
"length of stay (days)","neuroYes",1,1,1,1,1,1,1,1,1
"length of stay (days)","gastrYes",1,1,1,0.6,1,1,1,0.8,1
"length of stay (days)","renalYes",1,0.6,1,0.4,1,0.6,1,1,1
"length of stay (days)","metaYes",1,1,1,0,1,1,1,0,1
"length of stay (days)","hemaYes",1,1,1,0.8,1,1,1,1,1
"length of stay (days)","sepsYes",1,0.6,1,0,1,0.6,1,0.6,1
"length of stay (days)","traumaYes",1,0.8,1,0.2,1,0.8,1,1,1
"length of stay (days)","orthoYes",1,0.8,1,0,1,0.8,1,0.2,1
"length of stay (days)","urin1",1,0.4,1,0,1,0.4,1,0.4,1
"length of stay (days)","raceblack",1,1,1,0.2,1,1,1,0,1
"length of stay (days)","raceother",1,0.2,1,0,1,0.2,1,0.2,1
"length of stay (days)","income$11-$25k",1,0.8,1,0,1,0.8,1,0,1
"length of stay (days)","income$25-$50k",1,1,1,1,1,1,1,0.4,1
"length of stay (days)","income> $50k",1,1,1,0.2,1,1,1,0.2,1
"length of stay (days)","urin1_miss",1,1,1,1,1,1,1,1,1
"length of stay (days)","wtkilo1_zero",1,0.8,0.8,0.2,0.8,0.8,0.8,0.4,0.8
