# sim_battery4.R  run on 2026-09-07 13:29
# n_reps: main cells 500, growing-p cells 300, boundary-sequence cells 500; cores 12; total 84.7 min
# ctmle package available: TRUE
# cell P2 omits the full-set arm (201-parameter logistic refit on 400 training observations is degenerate).
# Boundary-sequence cells run the reduced arm set oracle/full/out_thr/out_bic/oal_fix/oads_thr/oads_bic/bch (+ oracle_ols, ols_oadsthr).
# se_emp = empirical variance of AIPW pseudo-observations (the estimator used for Table 1 of the previous version, sim_battery3.R);
# se_stk = stacked sandwich (B.1) of Lemma A4. Coverage of nominal 95 percent Wald intervals. mcse = Monte Carlo SE.
"cell","design","n","p","arm","measure","value","mcse","minutes","arm_label"
"I","I (n=500,p=20)",500,20,"out_bic","width_emp",1.11273068072882,NA,1.41735934813817,"outcome-only BIC-lasso + AIPW"
"I","I (n=500,p=20)",500,20,"out_bic","width_stk",1.24114315852973,NA,1.41735934813817,"outcome-only BIC-lasso + AIPW"
"I","I (n=500,p=20)",500,20,"out_bic","cov_w1_stk",0.99,NA,1.41735934813817,"outcome-only BIC-lasso + AIPW"
"I","I (n=500,p=20)",500,20,"out_bic","cov_w2_stk",1,NA,1.41735934813817,"outcome-only BIC-lasso + AIPW"
"I","I (n=500,p=20)",500,20,"out_bic","width_w1_stk",1.87437946390205,NA,1.41735934813817,"outcome-only BIC-lasso + AIPW"
"I","I (n=500,p=20)",500,20,"out_bic","width_w2_stk",2.50761576927436,NA,1.41735934813817,"outcome-only BIC-lasso + AIPW"
"I","I (n=500,p=20)",500,20,"out_bic","trim_frac",0.120476,NA,1.41735934813817,"outcome-only BIC-lasso + AIPW"
"I","I (n=500,p=20)",500,20,"out_bic","n_fail",0,NA,1.41735934813817,"outcome-only BIC-lasso + AIPW"
"I","I (n=500,p=20)",500,20,"out_bic","n_reps",500,NA,1.41735934813817,"outcome-only BIC-lasso + AIPW"
"I","I (n=500,p=20)",500,20,"oal_fix","bias",0.0105267837678547,0.012170055297113,1.41735934813817,"OAL arm alone (fixed lambda) + AIPW"
"I","I (n=500,p=20)",500,20,"oal_fix","emp_sd",0.272130709342761,0.00861414708647635,1.41735934813817,"OAL arm alone (fixed lambda) + AIPW"
"I","I (n=500,p=20)",500,20,"oal_fix","rmse",0.272062172853843,NA,1.41735934813817,"OAL arm alone (fixed lambda) + AIPW"
"I","I (n=500,p=20)",500,20,"oal_fix","mean_se_emp",0.246561009098954,0.00126583976765148,1.41735934813817,"OAL arm alone (fixed lambda) + AIPW"
"I","I (n=500,p=20)",500,20,"oal_fix","mean_se_stk",0.255603644086667,0.00139672039972063,1.41735934813817,"OAL arm alone (fixed lambda) + AIPW"
"I","I (n=500,p=20)",500,20,"oal_fix","se_ratio_emp",0.906038902020426,NA,1.41735934813817,"OAL arm alone (fixed lambda) + AIPW"
"I","I (n=500,p=20)",500,20,"oal_fix","se_ratio_stk",0.939267915421935,NA,1.41735934813817,"OAL arm alone (fixed lambda) + AIPW"
"I","I (n=500,p=20)",500,20,"oal_fix","cov_emp",0.93,0.0114105214604767,1.41735934813817,"OAL arm alone (fixed lambda) + AIPW"
"I","I (n=500,p=20)",500,20,"oal_fix","cov_stk",0.94,0.0106207344378814,1.41735934813817,"OAL arm alone (fixed lambda) + AIPW"
"I","I (n=500,p=20)",500,20,"oal_fix","width_emp",0.966519155667901,NA,1.41735934813817,"OAL arm alone (fixed lambda) + AIPW"
"I","I (n=500,p=20)",500,20,"oal_fix","width_stk",1.00196628481974,NA,1.41735934813817,"OAL arm alone (fixed lambda) + AIPW"
"I","I (n=500,p=20)",500,20,"oal_fix","cov_w1_stk",0.994,NA,1.41735934813817,"OAL arm alone (fixed lambda) + AIPW"
"I","I (n=500,p=20)",500,20,"oal_fix","cov_w2_stk",0.998,NA,1.41735934813817,"OAL arm alone (fixed lambda) + AIPW"
"I","I (n=500,p=20)",500,20,"oal_fix","width_w1_stk",1.51317357299307,NA,1.41735934813817,"OAL arm alone (fixed lambda) + AIPW"
"I","I (n=500,p=20)",500,20,"oal_fix","width_w2_stk",2.0243808611664,NA,1.41735934813817,"OAL arm alone (fixed lambda) + AIPW"
"I","I (n=500,p=20)",500,20,"oal_fix","trim_frac",0.022032,NA,1.41735934813817,"OAL arm alone (fixed lambda) + AIPW"
"I","I (n=500,p=20)",500,20,"oal_fix","n_fail",0,NA,1.41735934813817,"OAL arm alone (fixed lambda) + AIPW"
"I","I (n=500,p=20)",500,20,"oal_fix","n_reps",500,NA,1.41735934813817,"OAL arm alone (fixed lambda) + AIPW"
"I","I (n=500,p=20)",500,20,"oal_wamd","bias",-0.00757230884549642,0.013815697827645,1.41735934813817,"naive OAL selection (wAMD) + AIPW"
"I","I (n=500,p=20)",500,20,"oal_wamd","emp_sd",0.308928394992104,0.00977895747259896,1.41735934813817,"naive OAL selection (wAMD) + AIPW"
"I","I (n=500,p=20)",500,20,"oal_wamd","rmse",0.308712195397565,NA,1.41735934813817,"naive OAL selection (wAMD) + AIPW"
"I","I (n=500,p=20)",500,20,"oal_wamd","mean_se_emp",0.287728502263828,0.00195759586583123,1.41735934813817,"naive OAL selection (wAMD) + AIPW"
"I","I (n=500,p=20)",500,20,"oal_wamd","mean_se_stk",0.31971748177382,0.00222721829158392,1.41735934813817,"naive OAL selection (wAMD) + AIPW"
"I","I (n=500,p=20)",500,20,"oal_wamd","se_ratio_emp",0.93137603058852,NA,1.41735934813817,"naive OAL selection (wAMD) + AIPW"
"I","I (n=500,p=20)",500,20,"oal_wamd","se_ratio_stk",1.03492423149381,NA,1.41735934813817,"naive OAL selection (wAMD) + AIPW"
"I","I (n=500,p=20)",500,20,"oal_wamd","cov_emp",0.932,0.0112584190719657,1.41735934813817,"naive OAL selection (wAMD) + AIPW"
"I","I (n=500,p=20)",500,20,"oal_wamd","cov_stk",0.95,0.00974679434480897,1.41735934813817,"naive OAL selection (wAMD) + AIPW"
"I","I (n=500,p=20)",500,20,"oal_wamd","width_emp",1.12789572887421,NA,1.41735934813817,"naive OAL selection (wAMD) + AIPW"
"I","I (n=500,p=20)",500,20,"oal_wamd","width_stk",1.25329252855337,NA,1.41735934813817,"naive OAL selection (wAMD) + AIPW"
"I","I (n=500,p=20)",500,20,"oal_wamd","cov_w1_stk",0.996,NA,1.41735934813817,"naive OAL selection (wAMD) + AIPW"
"I","I (n=500,p=20)",500,20,"oal_wamd","cov_w2_stk",1,NA,1.41735934813817,"naive OAL selection (wAMD) + AIPW"
"I","I (n=500,p=20)",500,20,"oal_wamd","width_w1_stk",1.89272749210101,NA,1.41735934813817,"naive OAL selection (wAMD) + AIPW"
