# sim_battery4.R  run on 2026-09-07 13:29
# n_reps: main cells 500, growing-p cells 300, boundary-sequence cells 500; cores 12; total 84.7 min
# ctmle package available: TRUE
# cell P2 omits the full-set arm (201-parameter logistic refit on 400 training observations is degenerate).
# Boundary-sequence cells run the reduced arm set oracle/full/out_thr/out_bic/oal_fix/oads_thr/oads_bic/bch (+ oracle_ols, ols_oadsthr).
# se_emp = empirical variance of AIPW pseudo-observations (the estimator used for Table 1 of the previous version, sim_battery3.R);
# se_stk = stacked sandwich (B.1) of Lemma A4. Coverage of nominal 95 percent Wald intervals. mcse = Monte Carlo SE.
"design","n","p","arm","mean_size","p_exact_oracle","p_superset_oracle","p_iv_excluded","p_bdry_retained","mean_noise","p_oal_extra","mean_oal_extra","n_reps","cell"
"P2 (n=500,p=200)",500,200,"ols_oadsthr",6.32,NA,NA,NA,NA,NA,NA,NA,300,"P2"
"P2 (n=500,p=200)",500,200,"oal_ipw",57.6033333333333,NA,NA,NA,NA,NA,NA,NA,300,"P2"
"P2 (n=500,p=200)",500,200,"goal_ipw",126.82,NA,NA,NA,NA,NA,NA,NA,300,"P2"
"P2 (n=500,p=200)",500,200,"ry2",141.433333333333,NA,NA,NA,NA,NA,NA,NA,300,"P2"
"P2 (n=500,p=200)",500,200,"ctmle",NA,NA,NA,NA,NA,NA,NA,NA,290,"P2"
"C (AR(1) rho=.5, n=500,p=20)",500,20,"oracle",6,1,1,1,1,0,NA,NA,500,"C"
"C (AR(1) rho=.5, n=500,p=20)",500,20,"full",20,0,1,0,1,12,NA,NA,500,"C"
"C (AR(1) rho=.5, n=500,p=20)",500,20,"out_thr",6.2476,0.6944,0.9384,0.9508,0.99,0.2612,NA,NA,500,"C"
"C (AR(1) rho=.5, n=500,p=20)",500,20,"out_bic",12.23,0.0172,0.9988,0.3672,0.9998,5.3872,NA,NA,500,"C"
"C (AR(1) rho=.5, n=500,p=20)",500,20,"oal_fix",5.1564,0.2236,0.236,0.9224,0.9348,0.0024,NA,NA,500,"C"
"C (AR(1) rho=.5, n=500,p=20)",500,20,"oal_wamd",14.3196,0.00840000000000001,0.9444,0.1068,0.9984,6.8832,NA,NA,500,"C"
"C (AR(1) rho=.5, n=500,p=20)",500,20,"oads_thr",6.276,0.6764,0.9384,0.9224,0.99,0.2612,0.0284,0.0284,500,"C"
"C (AR(1) rho=.5, n=500,p=20)",500,20,"oads_bic",12.2312,0.0168,0.9988,0.366,0.9998,5.3872,0.0012,0.0012,500,"C"
"C (AR(1) rho=.5, n=500,p=20)",500,20,"trt_bic",8.2808,0,0.066,0,0.9998,1.7772,NA,NA,500,"C"
"C (AR(1) rho=.5, n=500,p=20)",500,20,"bch",14.3656,0,0.9992,0,1,6.3664,NA,NA,500,"C"
"C (AR(1) rho=.5, n=500,p=20)",500,20,"oracle_ols",6,NA,NA,NA,NA,NA,NA,NA,500,"C"
"C (AR(1) rho=.5, n=500,p=20)",500,20,"ols_oadsthr",6.256,NA,NA,NA,NA,NA,NA,NA,500,"C"
"C (AR(1) rho=.5, n=500,p=20)",500,20,"oal_ipw",14.674,NA,NA,NA,NA,NA,NA,NA,500,"C"
"C (AR(1) rho=.5, n=500,p=20)",500,20,"goal_ipw",16.072,NA,NA,NA,NA,NA,NA,NA,500,"C"
"C (AR(1) rho=.5, n=500,p=20)",500,20,"ry2",15.53,NA,NA,NA,NA,NA,NA,NA,500,"C"
"C (AR(1) rho=.5, n=500,p=20)",500,20,"ctmle",NA,NA,NA,NA,NA,NA,NA,NA,500,"C"
"Bd (bounded Rademacher, n=500,p=20)",500,20,"oracle",6,1,1,1,1,0,NA,NA,500,"Bd"
"Bd (bounded Rademacher, n=500,p=20)",500,20,"full",20,0,1,0,1,12,NA,NA,500,"Bd"
"Bd (bounded Rademacher, n=500,p=20)",500,20,"out_thr",6.0408,0.946,0.9928,0.99,0.9978,0.038,NA,NA,500,"Bd"
"Bd (bounded Rademacher, n=500,p=20)",500,20,"out_bic",13.82,0.004,1,0.2336,1,6.708,NA,NA,500,"Bd"
"Bd (bounded Rademacher, n=500,p=20)",500,20,"oal_fix",4.1464,0.0312,0.0312,0.9872,0.9366,0,NA,NA,500,"Bd"
"Bd (bounded Rademacher, n=500,p=20)",500,20,"oal_wamd",14.5024,0.0128,0.98,0.0604,1,6.9164,NA,NA,500,"Bd"
"Bd (bounded Rademacher, n=500,p=20)",500,20,"oads_thr",6.0456,0.9416,0.9928,0.9856,0.9978,0.038,0.00479999999999999,0.00479999999999999,500,"Bd"
"Bd (bounded Rademacher, n=500,p=20)",500,20,"oads_bic",13.82,0.004,1,0.2336,1,6.708,0,0,500,"Bd"
"Bd (bounded Rademacher, n=500,p=20)",500,20,"trt_bic",7.5448,0,0.0216,0.0024,0.9358,1.5628,NA,NA,500,"Bd"
"Bd (bounded Rademacher, n=500,p=20)",500,20,"bch",15.3856,0,1,0,1,7.388,NA,NA,500,"Bd"
"Bd (bounded Rademacher, n=500,p=20)",500,20,"oracle_ols",6,NA,NA,NA,NA,NA,NA,NA,500,"Bd"
"Bd (bounded Rademacher, n=500,p=20)",500,20,"ols_oadsthr",6.036,NA,NA,NA,NA,NA,NA,NA,500,"Bd"
"Bd (bounded Rademacher, n=500,p=20)",500,20,"oal_ipw",14.462,NA,NA,NA,NA,NA,NA,NA,500,"Bd"
"Bd (bounded Rademacher, n=500,p=20)",500,20,"goal_ipw",17.87,NA,NA,NA,NA,NA,NA,NA,500,"Bd"
"Bd (bounded Rademacher, n=500,p=20)",500,20,"ry2",16.256,NA,NA,NA,NA,NA,NA,NA,500,"Bd"
"Bd (bounded Rademacher, n=500,p=20)",500,20,"ctmle",NA,NA,NA,NA,NA,NA,NA,NA,500,"Bd"
"H (heteroscedastic, n=500,p=20)",500,20,"oracle",6,1,1,1,1,0,NA,NA,500,"H"
"H (heteroscedastic, n=500,p=20)",500,20,"full",20,0,1,0,1,12,NA,NA,500,"H"
"H (heteroscedastic, n=500,p=20)",500,20,"out_thr",6.0504,0.9164,0.9804,0.9844,0.9968,0.0544,NA,NA,500,"H"
"H (heteroscedastic, n=500,p=20)",500,20,"out_bic",14.0504,0.0036,1,0.2252,1,6.9172,NA,NA,500,"H"
"H (heteroscedastic, n=500,p=20)",500,20,"oal_fix",4.3352,0.026,0.0264,0.974,0.9908,0,NA,NA,500,"H"
"H (heteroscedastic, n=500,p=20)",500,20,"oal_wamd",11.978,0.0304,0.9348,0.1348,1,4.7036,NA,NA,500,"H"
"H (heteroscedastic, n=500,p=20)",500,20,"oads_thr",6.0632,0.9052,0.9812,0.9724,0.9968,0.0544,0.0128,0.0128,500,"H"
"H (heteroscedastic, n=500,p=20)",500,20,"oads_bic",14.0504,0.0036,1,0.2252,1,6.9172,0,0,500,"H"
"H (heteroscedastic, n=500,p=20)",500,20,"trt_bic",8.542,0,0.0472,0,1,2.178,NA,NA,500,"H"
"H (heteroscedastic, n=500,p=20)",500,20,"bch",15.8396,0,1,0,1,7.8396,NA,NA,500,"H"
"H (heteroscedastic, n=500,p=20)",500,20,"oracle_ols",6,NA,NA,NA,NA,NA,NA,NA,500,"H"
"H (heteroscedastic, n=500,p=20)",500,20,"ols_oadsthr",6.058,NA,NA,NA,NA,NA,NA,NA,500,"H"
"H (heteroscedastic, n=500,p=20)",500,20,"oal_ipw",12.086,NA,NA,NA,NA,NA,NA,NA,500,"H"
"H (heteroscedastic, n=500,p=20)",500,20,"goal_ipw",15.29,NA,NA,NA,NA,NA,NA,NA,500,"H"
"H (heteroscedastic, n=500,p=20)",500,20,"ry2",16.38,NA,NA,NA,NA,NA,NA,NA,500,"H"
"H (heteroscedastic, n=500,p=20)",500,20,"ctmle",NA,NA,NA,NA,NA,NA,NA,NA,500,"H"
"IV6 (six instruments, n=500,p=20)",500,20,"oracle",6,1,1,1,1,0,NA,NA,500,"IV6"
"IV6 (six instruments, n=500,p=20)",500,20,"full",20,0,1,0,1,8,NA,NA,500,"IV6"
"IV6 (six instruments, n=500,p=20)",500,20,"out_thr",6.0604,0.9184,0.9868,0.9576,0.9976,0.0304,NA,NA,500,"IV6"
"IV6 (six instruments, n=500,p=20)",500,20,"out_bic",13.9392,0.00320000000000001,1,0.028,1,4.5512,NA,NA,500,"IV6"
"IV6 (six instruments, n=500,p=20)",500,20,"oal_fix",4.34,0.0356,0.0376,0.964,0.9762,0,NA,NA,500,"IV6"
"IV6 (six instruments, n=500,p=20)",500,20,"oal_wamd",12.1944,0.0044,0.9304,0.00959999999999999,1,2.4368,NA,NA,500,"IV6"
