# convergence_check.R  run on 2026-09-16 11:09; replications per cell: main 25, boundary 10; cores 12; 0.7 min
# fits = propensity/outcome refits examined (folds x replications); ps_nonconv = logistic refit at glm.fit's iteration limit;
# ps_boundary = fitted probabilities numerically at 0/1; *_rankdef_fits = refits with aliased coefficients (set to zero);
# ginv_fits = refits in which a sandwich block was solved with a generalized inverse; trim_frac = share of test-fold
# propensities clipped; max_dpsi_maxit / max_dcorr_maxit = largest change in a pseudo-observation / correction term when
# a non-converged propensity refit is repeated with maxit = 200 (NA when no refit was non-converged);
# max_d_est_maxit / max_d_se_stk_maxit / cov_flips_maxit = largest change in a replication's arm estimate / stacked SE,
# and number of replications whose 95 percent stacked-interval coverage indicator changes, under the maxit = 200 refits. 

        cell      arm reps fits mean_dim ps_nonconv ps_boundary ps_rankdef_fits
 B8000_k1.50 oads_thr   10   50     7.00          0           0               0
 B8000_k1.50 oads_bic   10   50    12.62          0           0               0
 B8000_k1.50      bch   10   50    14.98          0           0               0
 B8000_k1.10   oracle   10   50     7.00          0           0               0
 B8000_k1.10     full   10   50    21.00          0           0               0
 B8000_k1.10  out_thr   10   50     6.54          0           0               0
 B8000_k1.10  out_bic   10   50    13.20          0           0               0
 B8000_k1.10  oal_fix   10   50     5.76          0           0               0
 B8000_k1.10 oads_thr   10   50     6.76          0           0               0
 B8000_k1.10 oads_bic   10   50    13.20          0           0               0
 B8000_k1.10      bch   10   50    15.86          0           0               0
 B8000_k0.75   oracle   10   50     7.00          0           0               0
 B8000_k0.75     full   10   50    21.00          0           0               0
 B8000_k0.75  out_thr   10   50     5.04          0           0               0
 B8000_k0.75  out_bic   10   50    12.16          0           0               0
 B8000_k0.75  oal_fix   10   50     4.44          0           0               0
 B8000_k0.75 oads_thr   10   50     5.08          0           0               0
 B8000_k0.75 oads_bic   10   50    12.16          0           0               0
 B8000_k0.75      bch   10   50    14.70          0           0               0
 out_rankdef_fits ginv_fits trim_frac max_dpsi_maxit max_d_est_maxit
                0         0  0.026640             NA           0.000
                0         0  0.229280             NA           0.000
                0         0  0.027840             NA           0.000
                0         0  0.129840             NA           0.000
                0         0  0.026720             NA           0.000
                0         0  0.146560             NA           0.000
                0         0  0.028640             NA           0.000
                0         0  0.129840             NA           0.000
                0         0  0.211520             NA           0.000
                0         0  0.223760             NA           0.000
                0         0  0.026600             NA           0.000
                0         5  0.793200             79           0.560
                0         0  0.007800             NA           0.000
                0         0  0.209400             NA           0.000
                0         0  0.007000             NA           0.000
                0         0  0.319800             NA           0.000
                0         0  0.010200             NA           0.000
                0         0  0.210200             NA           0.000
